"","site_code","Date","mean_Salinity","sd_Salinity","SE_Salinity","mean_DOX","sd_DOX","SE_DOX","mean_TURB","sd_TURB","SE_TURB","mean_CPHL","sd_CPHL","SE_CPHL","mean_CNDC","sd_CNDC","SE_CNDC","mean_DESC","sd_DESC","SE_DESC","mean_TEMP","sd_TEMP","SE_TEMP"
"53","NRSNSI",2019-09-16,35.6576866666667,0.00234649163401556,0.000428408799649159,NA,NA,NA,0.27772,0.0258561724772329,0.00472066963884156,0.239133333333333,0.0131326740017706,0.00239768726371047,4.91725,0.00446324066585918,0.00081487253075515,0.5718,0.120154039064229,0.0219370258569451,20.4317266666667,0.0450909191357387,0.00823243784976182
"54","NRSNSI",2019-10-24,35.5216433333333,0.0571856123895498,0.0104406166235011,NA,NA,NA,0.458746666666667,0.182004703867469,0.0332293606267535,0.33274,0.264258402274012,0.0482467626452504,5.10982333333333,0.0902296445029372,0.0164736038833102,0.6173,0.136224750903133,0.0248711229867228,22.4472,0.918263799900059,0.167651265648558
"55","NRSNSI",2019-12-20,35.5964966666667,0.0204006673882266,0.00372463523889723,NA,NA,NA,0.218316666666667,0.00449529127845582,0.000820724145255496,-0.00130666666666667,0.00361099215837089,0.000659273953371335,5.30038,0.136448316349022,0.0249119402659867,0.604933333333333,0.181038561968273,0.0330529680561067,24.16701,1.32468370937992,0.241853049729001
"56","NRSNSI",2020-01-22,35.4550933333333,0.0761969722148635,0.013911600165225,NA,NA,NA,0.355476666666667,0.139997260276969,0.025559885814206,0.27628,0.103329534450007,0.0188653056249253,5.39877333333333,0.141438601113902,0.0258230374440198,0.664333333333333,0.150813045565175,0.027534569007367,25.27871,1.4390121471175,0.262726471166733
"57","NRSNSI",2020-02-28,35.4474,0.0653469942321172,0.0119306742686969,NA,NA,NA,0.297786666666667,0.106574625735091,0.01945777552426,0.17956,0.0346668439429596,0.00632927080835678,5.52725,0.146610421490613,0.026767278338583,0.623866666666667,0.161884320838472,0.0295558980765449,26.49918,1.46176362077953,0.266880302947125
"58","NRSNSI",2020-05-28,35.7583066666667,0.0052945602098841,0.00096665001967427,NA,NA,NA,0.25631,0.0174291541330354,0.00318211362563262,0.15533,0.00735855823584653,0.00134348277882952,5.13972666666667,0.00279123422624234,0.000509607316331135,0.6001,0.174591217142926,0.031875849323821,22.44496,0.029020523059047,0.00529839837001295
"59","NRSNSI",2020-06-25,35.5903066666667,0.0220854130879271,0.00403222631335916,NA,NA,NA,0.364306666666667,0.04882015506151,0.00891330006269635,0.240203333333333,0.0361863803997689,0.00660669893980542,5.00368666666667,0.0214731706431832,0.00392044664747638,0.600833333333333,0.143577225005326,0.0262134949598039,21.3457233333333,0.230394674392673,0.0420641200979749
"60","NRSNSI",2020-07-20,35.5840333333333,0.00547693176963191,0.000999946358714694,NA,NA,NA,0.319196666666667,0.0354825210329054,0.00647819238895793,0.22336,0.0159711075339836,0.00291591195490118,5.02808,0.00141650370935651,0.000258617011468101,0.7423,0.147931752670871,0.0270085193030371,21.5877933333333,0.0152712471169101,0.0027881355090558
"61","NRSNSI",2020-08-18,35.6014833333333,0.00188498300245379,0.000344149236985918,NA,NA,NA,0.312963333333333,0.0299205440128182,0.00546271896288222,0.24617,0.0142507628349962,0.00260182142212791,5.00774333333333,0.000747724517468191,0.000136515195005665,0.561,0.158409552132744,0.0289214950091315,21.37129,0.00553343131058517,0.00101026171640429
"62","NRSNSI",2020-09-17,35.6191166666667,0.0162170000910776,0.00296080558831551,NA,NA,NA,0.24718,0.0457304275072954,0.00834919557003348,0.194103333333333,0.0148528990165355,0.00271175594523427,5.00435666666667,0.0287614526913983,0.0052510988085655,0.616266666666667,0.146529962414031,0.0267525885881831,21.3173333333333,0.298849772355245,0.0545622538747505
